numgc,nproc,mark,sweep,cleanup,heap0,heap1,obj0,obj1,nmalloc,nfree,nhandoff,nhandoffcnt,nsteal,nstealcnt,nprocyield,nosyield,nsleep
1,1,0,0,0,0,0,24,26,27,1,0,0,0,0,0,0,0
2,1,1,0,0,2,2,606,516,643,127,0,0,0,0,0,0,0
3,2,4,0,0,4,4,952,912,1081,169,0,0,6,66,16,14,28
4,2,5,0,0,9,9,35044,35044,35214,170,2,65,2,203,32,24,12
5,2,11,0,0,18,18,110946,110946,111117,171,7,268,2,51,83,35,17
6,2,15,1,0,37,37,262754,262754,262926,172,5,135,1,4,64,26,11
7,2,34,2,0,74,74,566408,566408,566581,173,7,388,1,87,52,27,33
8,2,65,4,1,148,148,1173695,1173695,1173869,174,1,4,1,225,22,12,13
9,2,66,19,2,296,154,2173022,1186237,2242760,1056523,2,16,2,10391,22,12,12
10,2,57,23,2,309,147,2240606,1120704,3374784,2254080,4,135,4,11527,46,28,1
11,2,58,25,2,294,139,2121092,1056487,4448886,3392399,3,42,3,11270,35,6,0
12,2,59,30,2,278,131,2002782,995545,5464957,4469412,2,17,4,10621,27,7,0
13,2,48,24,2,263,124,1891444,938285,6426929,5488644,1,8,3,11016,21,2,0
14,2,46,27,3,249,117,1785451,883163,7336566,6453403,1,5,4,15138,22,12,1
15,2,43,25,2,235,111,1682383,831395,8194813,7363418,4,118,4,12675,62,24,0
16,2,42,22,1,223,105,1590478,782397,9009859,8227462,5,260,3,10399,39,32,6
17,2,38,21,3,211,100,1501317,737447,9781756,9044309,2,12,3,9921,22,12,1
18,2,36,19,3,200,94,1416938,693352,10511238,9817886,3,80,2,9581,32,14,1
19,2,35,18,1,189,89,1337380,651769,11202770,10551001,6,330,4,9091,52,28,8
20,2,33,17,3,179,84,1261549,612707,11857464,11244757,7,347,3,8677,77,21,1
21,2,30,17,5,169,80,1188923,575777,12476205,11900428,3,95,4,8380,36,15,13
22,2,30,16,1,160,76,1121930,541206,13062675,12521469,5,237,3,8056,58,19,13
23,2,29,15,1,152,71,1058776,507943,13618323,13110380,6,309,4,7708,76,29,3
24,2,29,19,7,143,67,996911,476365,14143424,13667059,6,312,8,13130,32,15,13
25,2,24,14,1,135,64,938571,446484,14639733,14193249,6,305,4,6949,47,23,3
26,2,23,13,1,128,60,883955,418869,15109295,14690426,3,51,3,6717,32,22,2
27,2,20,16,5,121,57,833559,392681,15554676,15161995,4,146,6,11415,21,12,13
28,2,27,12,1,115,54,787562,366418,15978624,15612206,1,5,3,6239,16,12,12
29,2,20,11,1,108,51,737908,342608,16377469,16034861,5,282,3,6006,57,25,13
30,2,19,10,1,102,48,691809,319720,16752513,16432793,1,2,5,5893,22,14,13
31,2,18,10,1,97,45,651215,298692,17108491,16809799,7,265,8,5715,81,27,4
32,2,17,9,4,91,43,610529,279116,17443303,17164187,8,377,2,5084,88,27,3
33,2,16,9,1,87,41,578149,260242,17764382,17504140,2,16,3,5192,22,15,12
34,2,15,9,1,82,38,544209,240673,18069309,17828636,3,69,4,5055,26,24,9
35,2,14,8,1,77,36,502090,224130,18349985,18125855,4,178,4,4898,32,13,13
36,2,13,8,2,73,35,474962,208934,18619283,18410349,5,180,3,4508,32,23,6
37,2,12,8,1,70,32,450523,192835,18878745,18685910,4,173,10,4972,58,17,5
38,2,22,10,2,65,31,417360,178311,19119786,18941475,1,4,12,24458,16,5,11
39,2,11,7,1,62,29,389979,163519,19347080,19183561,1,25,5,5333,32,15,6
40,2,12,7,1,58,28,361009,152046,19559112,19407066,1,5,6,5449,22,13,20
41,2,10,6,2,56,26,344466,139748,19765752,19626004,4,200,3,4377,32,14,13
42,2,10,6,1,52,25,317363,128370,19956474,19828104,7,378,4,4050,42,23,11
43,2,11,5,1,50,24,299704,118015,20140483,20022468,1,2,3,4094,22,14,13
44,2,8,5,1,48,22,284075,106531,20318741,20212210,4,92,5,4156,42,23,6
45,2,8,5,1,44,21,257071,97553,20480371,20382818,3,112,5,3797,22,14,13
46,2,7,5,1,42,20,241772,87640,20635155,20547515,2,48,4,3883,42,15,2
47,2,5,4,5,40,19,225603,79493,20783425,20703932,4,212,3,3834,40,13,16
48,2,7,5,1,38,17,212729,68709,20926474,20857765,7,375,5,3387,42,23,15
49,2,7,4,2,34,16,186544,62251,21052992,20990741,5,239,4,4401,61,22,13
50,2,6,4,2,33,15,177829,54355,21177176,21122821,4,98,3,4986,55,27,10
51,2,5,3,1,31,15,159069,48879,21289527,21240648,7,301,4,7649,75,21,6
52,2,5,4,1,30,14,153569,42071,21402013,21359942,8,386,6,8784,95,38,5
53,2,6,4,1,29,13,143006,34650,21510359,21475709,7,356,4,8027,42,23,13
54,2,5,3,1,26,12,124114,29570,21606497,21576927,2,16,4,8780,22,13,13
55,2,7,3,3,25,12,117825,23704,21701210,21677506,3,92,5,6036,29,14,31
56,2,4,3,1,24,11,105256,18720,21788849,21770129,6,332,5,6182,72,24,13
