gc1(1): 3+0+125+1 us, 0 -> 0 MB, 21 (21-0) objects, 2 goroutines, 15/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc36(2): 42+3+7079+16 us, 3 -> 7 MB, 88803 (2449556-2360753) objects, 411 goroutines, 894/666/0 sweeps, 0(0) handoff, 4(130) steal, 16/1/0 yields
gc37(2): 69+6+2589+9 us, 3 -> 7 MB, 88178 (2536260-2448082) objects, 385 goroutines, 894/672/0 sweeps, 0(0) handoff, 1(7) steal, 16/3/0 yields
gc38(2): 31+12472+1+24 us, 3 -> 7 MB, 86718 (2621700-2534982) objects, 408 goroutines, 894/659/0 sweeps, 0(0) handoff, 7(233) steal, 16/1/0 yields
gc39(2): 36+11+5761+76 us, 3 -> 7 MB, 82639 (2702620-2619981) objects, 380 goroutines, 894/680/0 sweeps, 0(0) handoff, 5(41) steal, 16/10/1 yields
gc40(2): 615+4+5361+16 us, 3 -> 7 MB, 82978 (2784116-2701138) objects, 393 goroutines, 894/636/0 sweeps, 0(0) handoff, 3(102) steal, 16/1/0 yields
gc41(2): 483+18+5709+19 us, 3 -> 7 MB, 86120 (2869105-2782985) objects, 404 goroutines, 894/670/0 sweeps, 0(0) handoff, 7(167) steal, 16/10/1 yields
gc42(2): 25+8+4353+13 us, 3 -> 7 MB, 87350 (2955468-2868118) objects, 409 goroutines, 894/667/0 sweeps, 0(0) handoff, 1(6) steal, 16/1/0 yields
gc43(2): 78+4+5422+17 us, 3 -> 7 MB, 87844 (3041819-2953975) objects, 410 goroutines, 894/662/0 sweeps, 2(156) handoff, 7(230) steal, 36/14/1 yields
gc44(2): 21+8+6854+21 us, 3 -> 7 MB, 87278 (3127993-3040715) objects, 407 goroutines, 894/660/0 sweeps, 0(0) handoff, 5(133) steal, 16/10/1 yields
gc45(2): 2639+5+5225+13 us, 3 -> 7 MB, 83341 (3209360-3126019) objects, 407 goroutines, 894/664/0 sweeps, 0(0) handoff, 3(144) steal, 16/2/0 yields
gc46(2): 19+10+2982+14 us, 3 -> 7 MB, 83007 (3290670-3207663) objects, 411 goroutines, 894/678/0 sweeps, 0(0) handoff, 2(33) steal, 16/3/0 yields
gc47(2): 42+2+7114+222 us, 3 -> 7 MB, 85310 (3374295-3288985) objects, 407 goroutines, 894/674/0 sweeps, 0(0) handoff, 6(186) steal, 16/10/1 yields
gc48(2): 45+2+6472+21 us, 3 -> 7 MB, 87688 (3460499-3372811) objects, 409 goroutines, 894/630/0 sweeps, 0(0) handoff, 5(135) steal, 16/1/0 yields
gc49(2): 22+9+6212+209 us, 3 -> 7 MB, 89152 (3547846-3458694) objects, 411 goroutines, 894/649/0 sweeps, 0(0) handoff, 7(218) steal, 16/10/1 yields
gc50(2): 83+4+5668+195 us, 3 -> 7 MB, 87702 (3634033-3546331) objects, 404 goroutines, 894/681/0 sweeps, 0(0) handoff, 5(224) steal, 16/10/1 yields
gc51(2): 17+8+2750+9 us, 3 -> 7 MB, 84977 (3717482-3632505) objects, 409 goroutines, 894/674/0 sweeps, 0(0) handoff, 2(42) steal, 16/10/0 yields
gc52(2): 46+5+2889+10 us, 3 -> 7 MB, 84234 (3799902-3715668) objects, 409 goroutines, 894/652/0 sweeps, 0(0) handoff, 1(6) steal, 16/5/0 yields
gc53(2): 63+3+11580+17 us, 3 -> 7 MB, 83250 (3881565-3798315) objects, 408 goroutines, 894/656/0 sweeps, 0(0) handoff, 5(136) steal, 16/1/0 yields
gc54(2): 18+8+6699+1213 us, 3 -> 7 MB, 86800 (3966762-3879962) objects, 411 goroutines, 894/660/0 sweeps, 0(0) handoff, 5(54) steal, 16/10/10 yields
gc55(2): 24+8+6120+26 us, 3 -> 7 MB, 88877 (4054136-3965259) objects, 410 goroutines, 894/686/0 sweeps, 0(0) handoff, 6(63) steal, 16/10/6 yields
gc56(2): 1666+5+5128+12 us, 3 -> 7 MB, 87296 (4139888-4052592) objects, 411 goroutines, 894/648/0 sweeps, 0(0) handoff, 3(166) steal, 16/10/1 yields
gc57(2): 39+2+8168+59 us, 3 -> 7 MB, 86783 (4224914-4138131) objects, 409 goroutines, 894/663/0 sweeps, 0(0) handoff, 6(73) steal, 16/1/0 yields
gc58(2): 30+7+2731+11 us, 3 -> 7 MB, 84929 (4307938-4223009) objects, 372 goroutines, 894/627/0 sweeps, 0(0) handoff, 1(21) steal, 13/0/0 yields
gc59(2): 24+7378+1+23 us, 3 -> 7 MB, 84654 (4390649-4305995) objects, 411 goroutines, 894/670/0 sweeps, 0(0) handoff, 7(237) steal, 16/1/0 yields
gc60(2): 6609+6+6198+17 us, 3 -> 7 MB, 85687 (4474583-4388896) objects, 399 goroutines, 894/659/0 sweeps, 0(0) handoff, 3(91) steal, 16/1/0 yields
gc61(2): 23+6+2753+431 us, 3 -> 7 MB, 88504 (4561549-4473045) objects, 411 goroutines, 894/668/0 sweeps, 0(0) handoff, 1(18) steal, 16/10/1 yields
gc62(2): 21+26+7211+262 us, 3 -> 7 MB, 88047 (4648016-4559969) objects, 411 goroutines, 894/664/0 sweeps, 0(0) handoff, 7(157) steal, 16/10/4 yields
gc63(2): 40+2+7206+29 us, 3 -> 7 MB, 89168 (4735034-4645866) objects, 410 goroutines, 894/674/0 sweeps, 0(0) handoff, 6(95) steal, 16/1/0 yields
gc64(2): 27+13+3253+1456 us, 3 -> 7 MB, 86567 (4819339-4732772) objects, 411 goroutines, 894/694/0 sweeps, 0(0) handoff, 2(21) steal, 16/1/0 yields
gc65(2): 62+9+8626+26 us, 3 -> 7 MB, 83038 (4900350-4817312) objects, 413 goroutines, 894/648/0 sweeps, 0(0) handoff, 6(150) steal, 16/1/0 yields
gc66(2): 443+3+10291+3265 us, 3 -> 7 MB, 86310 (4984762-4898452) objects, 411 goroutines, 894/662/0 sweeps, 0(0) handoff, 6(95) steal, 16/1/0 yields
gc67(2): 40+5669+31+14 us, 3 -> 7 MB, 87941 (5071185-4983244) objects, 411 goroutines, 894/671/0 sweeps, 0(0) handoff, 7(236) steal, 16/5/0 yields
gc68(2): 56+2+5997+28 us, 3 -> 7 MB, 88362 (5158111-5069749) objects, 410 goroutines, 894/657/0 sweeps, 0(0) handoff, 7(235) steal, 16/1/0 yields
gc69(2): 27+9+6496+32 us, 3 -> 7 MB, 87170 (5243806-5156636) objects, 411 goroutines, 894/675/0 sweeps, 6(165) handoff, 7(235) steal, 16/10/3 yields
gc70(2): 40+3+8170+19 us, 3 -> 7 MB, 86172 (5328291-5242119) objects, 411 goroutines, 894/661/0 sweeps, 0(0) handoff, 4(166) steal, 16/10/1 yields
