gc40(2): 1+2903+7+150 us, 1 -> 2 MB, 12273 (480002-467729) objects, 623/3/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/1 yields
gc41(2): 1+8+1427+0 us, 2 -> 4 MB, 21565 (497538-475973) objects, 623/2/0 sweeps, 1(2) handoff, 2(11) steal, 16/1/0 yields
gc42(2): 1+13+1496+5 us, 1 -> 3 MB, 13803 (507172-493369) objects, 623/444/0 sweeps, 1(2) handoff, 1(5) steal, 16/1/0 yields
gc43(2): 1+2696+9+269 us, 1 -> 3 MB, 19486 (522162-502676) objects, 623/2/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/1 yields
gc44(2): 2429+6+3163+1 us, 1 -> 3 MB, 17328 (535593-518265) objects, 623/67/0 sweeps, 0(0) handoff, 7(206) steal, 16/1/0 yields
gc45(2): 32+7+3161+1 us, 1 -> 3 MB, 15952 (547712-531760) objects, 623/71/0 sweeps, 0(0) handoff, 7(228) steal, 16/1/0 yields
gc46(2): 5+10+1595+1 us, 1 -> 3 MB, 14450 (558023-543573) objects, 623/1/0 sweeps, 0(0) handoff, 1(1) steal, 13/0/0 yields
gc47(2): 1+44+2947+17 us, 1 -> 3 MB, 19548 (573284-553736) objects, 623/31/0 sweeps, 0(0) handoff, 5(32) steal, 16/1/0 yields
gc48(2): 7+6202+21+87 us, 1 -> 3 MB, 16922 (585842-568920) objects, 623/354/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/21 yields
gc49(2): 1+11+2643+1 us, 2 -> 4 MB, 22039 (603368-581329) objects, 623/196/0 sweeps, 1(2) handoff, 2(149) steal, 26/13/0 yields
gc50(2): 2548+3+3182+1 us, 2 -> 4 MB, 21788 (620957-599169) objects, 623/192/0 sweeps, 0(0) handoff, 7(228) steal, 16/1/0 yields
gc51(2): 2+2518+11+136 us, 1 -> 3 MB, 17230 (634158-616928) objects, 623/3/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/1 yields
gc52(2): 90+2+3032+1 us, 1 -> 2 MB, 12657 (642955-630298) objects, 623/1/0 sweeps, 0(0) handoff, 7(228) steal, 16/1/0 yields
gc53(2): 1+14+1564+1 us, 1 -> 3 MB, 18793 (657481-638688) objects, 623/2/0 sweeps, 0(0) handoff, 2(27) steal, 10/0/0 yields
gc54(2): 1+2363+7+165 us, 1 -> 3 MB, 18339 (671714-653375) objects, 623/1/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/1 yields
gc55(2): 1+3119+16+157 us, 1 -> 3 MB, 15393 (683183-667790) objects, 623/121/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/1 yields
gc56(2): 2770+2+2773+1 us, 1 -> 3 MB, 18704 (697697-678993) objects, 623/0/0 sweeps, 1(2) handoff, 7(228) steal, 16/1/0 yields
gc57(2): 1+4671+4+146 us, 2 -> 4 MB, 21387 (714750-693363) objects, 623/196/0 sweeps, 0(0) handoff, 7(228) steal, 16/10/1 yields
