gc44(2): 3+1+0 ms, 15 -> 7 MB 175594 -> 12454 (6611527-6599073) objects, 0(0) handoff, 3(172) steal, 22/4/0 yields
gc45(2): 2+1+0 ms, 15 -> 7 MB 165647 -> 12734 (6780965-6768231) objects, 1(2) handoff, 1(37) steal, 22/8/0 yields
gc46(2): 2+1+0 ms, 15 -> 7 MB 173889 -> 12838 (6959371-6946533) objects, 0(0) handoff, 3(53) steal, 13/3/0 yields
gc47(2): 0+1+3 ms, 15 -> 7 MB 177351 -> 12712 (7141602-7128890) objects, 3(150) handoff, 3(238) steal, 32/14/1 yields
gc48(2): 2+1+0 ms, 15 -> 7 MB 166428 -> 12482 (7311718-7299236) objects, 1(8) handoff, 2(37) steal, 22/12/1 yields
gc49(2): 2+1+0 ms, 15 -> 7 MB 175068 -> 12750 (7491710-7478960) objects, 1(5) handoff, 3(323) steal, 22/13/3 yields
gc50(2): 4+1+0 ms, 15 -> 7 MB 175158 -> 12938 (7671611-7658673) objects, 0(0) handoff, 3(255) steal, 16/14/3 yields
gc51(2): 1+1+1 ms, 15 -> 7 MB 167345 -> 12626 (7842476-7829850) objects, 3(150) handoff, 3(179) steal, 32/13/1 yields
gc52(2): 7+2+0 ms, 15 -> 7 MB 176808 -> 12472 (8024189-8011717) objects, 1(6) handoff, 6(300) steal, 16/14/29 yields
gc53(2): 4+3+0 ms, 15 -> 7 MB 176461 -> 12389 (8205796-8193407) objects, 2(64) handoff, 9(672) steal, 22/4/0 yields
gc54(2): 0+1+4 ms, 15 -> 7 MB 167050 -> 11972 (8376930-8364958) objects, 3(100) handoff, 3(292) steal, 22/13/1 yields
gc55(2): 2+1+0 ms, 15 -> 7 MB 175420 -> 13218 (8557944-8544726) objects, 0(0) handoff, 3(238) steal, 22/4/0 yields
gc56(2): 2+1+0 ms, 15 -> 7 MB 177684 -> 12748 (8740070-8727322) objects, 0(0) handoff, 2(184) steal, 22/2/0 yields
gc57(2): 4+2+0 ms, 15 -> 7 MB 168369 -> 12889 (8912349-8899460) objects, 0(0) handoff, 3(616) steal, 22/6/2 yields
gc58(2): 1+1+2 ms, 15 -> 7 MB 180201 -> 12735 (9097593-9084858) objects, 3(155) handoff, 3(289) steal, 32/22/2 yields
gc59(2): 2+1+0 ms, 15 -> 7 MB 175369 -> 12998 (9277690-9264692) objects, 0(0) handoff, 3(180) steal, 22/3/0 yields
gc60(2): 3+1+0 ms, 15 -> 7 MB 167299 -> 13271 (9448415-9435144) objects, 0(0) handoff, 3(273) steal, 12/5/1 yields
gc61(2): 7+0+0 ms, 15 -> 7 MB 180185 -> 13044 (9633229-9620185) objects, 2(11) handoff, 10(1493) steal, 22/15/2 yields
gc62(2): 2+1+0 ms, 15 -> 7 MB 175018 -> 13017 (9812573-9799556) objects, 0(0) handoff, 2(210) steal, 20/4/0 yields
gc63(2): 3+1+0 ms, 15 -> 7 MB 167805 -> 12894 (9983900-9971006) objects, 0(0) handoff, 4(350) steal, 16/2/0 yields
gc64(2): 2+2+0 ms, 15 -> 7 MB 177604 -> 13137 (10166283-10153146) objects, 0(0) handoff, 8(262) steal, 8/4/3 yields
